[2026-07-26 21:06:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:49:54] sensors/moisture: {'value': 1707, 'level': 'wet'}
[2026-07-26 22:49:55] sensors/moisture: {'value': 1740, 'level': 'wet'}
[2026-07-26 22:49:56] sensors/moisture: {'value': 1617, 'level': 'wet'}
[2026-07-26 22:49:57] sensors/moisture: {'value': 1477, 'level': 'wet'}
[2026-07-26 22:49:58] sensors/moisture: {'value': 1419, 'level': 'wet'}
[2026-07-26 22:49:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:02] sensors/moisture: {'value': 1584, 'level': 'wet'}
[2026-07-26 22:50:03] sensors/moisture: {'value': 1439, 'level': 'wet'}
[2026-07-26 22:50:04] sensors/moisture: {'value': 1106, 'level': 'wet'}
[2026-07-26 22:50:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:06] sensors/moisture: {'value': 18, 'level': 'dry'}
[2026-07-26 22:50:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:13] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:14] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:15] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:16] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:18] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:20] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:50:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:22] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:28] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:40] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:50:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:56] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:50:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:06] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:51:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:13] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:51:14] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:51:15] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:16] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:18] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:22] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:27] sensors/moisture: {'value': 2137, 'level': 'wet'}
[2026-07-26 22:51:29] sensors/moisture: {'value': 2071, 'level': 'wet'}
[2026-07-26 22:51:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:32] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:51:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:34] sensors/moisture: {'value': 2113, 'level': 'wet'}
[2026-07-26 22:51:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:37] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:51:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:42] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:51:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:46] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:47] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:51:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:49] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:56] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:57] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:51:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:51:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:06] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:52:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:11] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:12] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:13] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:14] sensors/moisture: {'value': 2, 'level': 'dry'}
[2026-07-26 22:52:15] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:17] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:18] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:19] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:20] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:21] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:22] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 22:52:23] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:24] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:25] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:28] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:32] sensors/moisture: {'value': 3, 'level': 'dry'}
[2026-07-26 22:52:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 22:52:35] sensors/moisture: {'value': 0, 'level': 'dry'}
